,Date,User,text
63,2023-01-16 16:00:32+00:00,feedmileapp,"Wipro to hire 8,000 freshers amid mass layoffs.

#feedmile #Wipro #hire #professional #layoff #techie https://t.co/my3Bas4KG2"
64,2023-01-16 13:06:54+00:00,PressRoomToday,"TCS is increasing salaries while other tech companies are undertaking layoff.

Read More: https://t.co/urvqZHD83s

#TCS #tech #technology #TechNews #layoffs #employee https://t.co/kGUvEAphgB"
65,2023-01-16 11:29:26+00:00,Oneindia,"Wipro said that cases of moonlighting keep coming up and the company is taking action against employees who violate the rules
#wipro #Infosys #moonlighting #employee #jobs #technology #InformationTechnology 
https://t.co/85fdfy4zcC https://t.co/YvWZHYQ3mM"
66,2023-01-16 09:17:18+00:00,Stocks_Emoji,"IT Companies starting at a weak fourth quarter
. 
. 
. 
. 
#it #informationtechnology #companies #wipro #hcltechnologies #infosys #tcs #revenue #netprofit #operatingmargin #attrition #lukewarm #sale #growth https://t.co/8emiKKJopE"
67,2023-01-16 08:01:29+00:00,businessupturn,"Scotwest Credit Union Partners with TCS to Improve Customer Retention
#TCS
https://t.co/MqXVL1H217"
68,2023-01-16 06:44:34+00:00,indiacom,"#HiringAlert! Amid mass layoff, #Wipro to hire 8,000 freshers in 3 months

https://t.co/JnIqHeLdmh"
69,2023-01-16 06:14:44+00:00,fpjindia,"Scotwest Credit Union Partners with TCS to improve customer retention using AI-led personalisation
@TCS 
#tcs #Project #AI 

https://t.co/mGeGoGuyFL"
70,2023-01-16 06:13:43+00:00,PavanjitMane1,"#Infosys Q3 Results: Profit rises 13% YoY to Rs 6,586 crore; FY23 revenue guidance raised to 16-16.5%

Infosys won #deals worth $3.3 billion, the strongest in the last eight quarters.

The #attrition rate for Infosys dipped to 24.3% on a 12-month trailing basis, from 27.1%"
71,2023-01-16 06:10:45+00:00,equitybulls,"Scotwest Credit Union Partners with TCS to Improve Customer Retention Using AI-led Personalization

#TataConsultancyServices #INE467B01029 #TCS #ScotwestCreditUnion #CustomerExperience 

https://t.co/IuLp5pJlrA https://t.co/POf7NpY5lM"
72,2023-01-16 06:08:08+00:00,MarketVedantA,"TCS partners with UK-based Scotwest Credit Union to improve customer retention
#TCS #partners #scotwestcreditunion #ukbased #improve #customerretention https://t.co/1I0UMzjuKH"
73,2023-01-16 06:04:31+00:00,master_trust,TCS partners with UK-based Scotwest Credit Union to improve customer retention #tcs #nse #bse #stockstowatch #Investing #India #wealth #mastertrust
74,2023-01-16 05:57:11+00:00,YashasInfinite,"#Scotwest #Credit #Union #Partners with #TCS to Improve #Customer #Retention Using AI-led #Personalization 

Source: #NSE  #BSE  
#stockmarket #investing 
#TCS https://t.co/fgF8aaTbaa"
75,2023-01-15 16:32:55+00:00,FacemaskIndia,"@pareekhjain No more fighting over #moonlighting 

#Wipro"
76,2023-01-14 18:27:12+00:00,SachinKhunger,@Ravisutanjani Moonlighting syndrome #tcs
77,2023-01-14 08:08:09+00:00,LEarnWithAkshay,"Investing in #Infosys via SIP may yield a 17% XIRR in the long term.

However, the company's recent decrease in net margin due to high attrition &amp; double digit wage hike with the stock's history of significant fluctuations, should be considered before making a decision."
78,2023-01-14 07:33:18+00:00,roopkesh,"If Your Turnover in F.Y.2021-22 is exceeding Rs.10 Crores then provision of Section 194Q and Section 206C(1H) shall be applicable to you with effect from 01/04/2022
Detailed analysis of both sections given here

#IncomeTax #TDS #TCS https://t.co/I3vW4G7eTJ"
79,2023-01-14 07:00:16+00:00,jais_george,"Wipro reports negative headcount growth, attrition inches lower #WiproAttrition #ITResults #Wipro #WiproHeadcount #DipInAttrition #WiproResults #TataConsultancy #Infosys #Wipro #Tcs  https://t.co/Nk1MUFSH8S"
80,2023-01-14 06:21:54+00:00,i_xperts,"If Your Turnover in F.Y.2021-22 is exceeding Rs.10 Crores then provision of Section 194Q and Section 206C(1H) shall be applicable to you with effect from 01/04/2022
Detailed analysis of both sections given here

#IncomeTax #TDS #TCS https://t.co/V7UQ9RCLM2"
81,2023-01-14 05:49:29+00:00,thenewsminute,"Wipro said the margins improved by 120 basis points and the employee attrition moderated for the fourth quarter in a row.

#Wipro #Business

https://t.co/wzRXTQJnH2"
82,2023-01-13 19:01:15+00:00,this_is_2P,"#Infosys fired Vishal Sikka who had the insight to invest in #OpenAI. Today CEO Salil Parekh shines as he shares the update. I'm not so sure bullish on Infosys though, not as much as their '15 to '22 growth."
83,2023-01-13 18:07:20+00:00,parmarravi,"If Moonlighting is restricted then why all companies in india don't restrict working after office hours maintaining a healthy mental health and wellbeing of the employees.
#MOONLIGHT #labourlaw #india #ITfirms #tata #tcs #Infosys #betterlaws"
84,2023-01-13 15:41:42+00:00,ETNOWlive,"#EarningsWithETNOW | @wipro Q3FY23: ""We achieved record order bookings of over $4.3bn led by large deal signings of over $1bn, margin expansion of over 120 basis points, a huge surge in cash conversions &amp; a 4th straight quarter of lower attrition,"" says Wipro management 

#Wipro https://t.co/ScRANUXNgv"
85,2023-01-13 14:52:17+00:00,aadityathatsme,Moderation of attrition and lower subcontractor costs along with pyramid optimization are likely margin levers in the medium term. 6/6 #WiproQ3FY23 #Wipro
86,2023-01-13 14:30:00+00:00,tradingonchart,"Wipro Q3: Firm's net profit rises 3% to Rs 3,053 cr, meets estimates

Telegram: https://t.co/UKTjQEoPop

Open Zerodha Demat: https://t.co/KnZSj2zN2V

#tradingonchart #sensex #stockmarketindia #nifty50 #india #stocks #acquisition #investment #q3 #attrition #wipro #it #technology https://t.co/PArdWHnBuf"
87,2023-01-13 13:04:56+00:00,atishyadav11,"#Wipro 
👉IT services had headcount of 258,744 at Dec-end
👉Total bookings over $4.3 Bn in Q3, led by solid large deal signings of over $1 Bn
👉Q3 voluntary attrition moderated by 180 bps to 21.2%
#Wipro https://t.co/Uma8Hq1Cd4"
88,2023-01-13 12:44:21+00:00,ETtech,"#Wipro reports negative headcount growth, #attrition inches lower

Read more at:
https://t.co/KFCJUaKIZM

By @Romita__ET and @Sai__ET"
89,2023-01-13 12:28:48+00:00,ZeeBusiness,"#Wipro’s revenue in Q3 saw 3.1% growth to Rs 23,229 crore. The #IT giant has moderated its attrition for the fourth quarter in a row https://t.co/Itkv8VOJRV"
90,2023-01-13 12:19:33+00:00,trade4_money,#Wipro attrition rate moderates for 4th quarter to 21.2% https://t.co/7DlImMHAAp
91,2023-01-13 11:45:55+00:00,trade4_money,"#Wipro Q3 Results: Cons PAT rises 3% YoY to Rs 3,053 cr; attrition rate moderates for Q4 to 21.2% https://t.co/qSQ5IFHVqm"
92,2023-01-13 11:42:02+00:00,ETMarkets,"#Wipro today said its voluntary attrition rate reduced 180 basis points quarter on quarter to 21.2% in the December quarter. 

https://t.co/l1wLbpEC10"
93,2023-01-13 11:29:50+00:00,AoI_VenturesLtd,"#Wipro 
👉IT services had headcount of 258,744 at Dec-end
👉Total bookings over $4.3 Bn in Q3, led by solid large deal signings of over $1 Bn
👉Q3 voluntary attrition moderated by 180 bps to 21.2%
👉Margin growth led by strong operational improvements &amp; automation-led efficiences https://t.co/Lt4AwVeuF1"
94,2023-01-13 11:17:09+00:00,CNBCTV18News,"@Wipro #Q3WithCNBCTV18 | #Wipro saw a reduction of 435 employees in #Q3FY23 from the previous quarter, while its voluntary attrition rate4 moderated to 21.2% after at least 4 quarters.  

@kanishka9996 reports. 

@Wipro @WiproDigital #WiproQ3

https://t.co/UCCQA4ECgO"
95,2023-01-13 10:50:30+00:00,SAMCO_India,"The Attrition Curve of IT Majors: Infosys and HCLTech!

The below chart shows the story of the attrition rate of two #IT majors, #Infosys and #HCLTech https://t.co/DsZkOsZO0M"
96,2023-01-13 10:00:55+00:00,TheLayoffBot,"Wipro: Visitors are discussing potential and/or actual layoffs at Wipro!
See the discussion at https://t.co/TTtKlO5S7Q
#Wipro $WIT #layoff #layoffs #jobcuts #thelayoff #rifs #Internet #ComputerServices #HighlandPark #IL #Illinois 🤖"
97,2023-01-13 09:13:13+00:00,MAPATWARDHAN,"IT hirings seen at pre-Covid levels in FY24 

#India #IT #Tech #Services #TCS #HCLTech #Wipro #Infosys #TechM #hiring #recruitment #attrition #covid #demand #markets -Shivani Shinde &amp; Sourabh Lele https://t.co/rGN8xUyFqV"
98,2023-01-13 03:52:11+00:00,lmspl,"LMs Update on #Infosys 13 Jan 2023

- Operating margins of 21.5%/ Remain resilient due to cost optimization benefits/ Attrition reduced meaningfully during Q3.

- Attrition at 24.3% in Q3 down by 2.4% from 27.1% in Q2 Reduced meaningfully.

Disclaimer:https://t.co/GpmdWnZmRX"
99,2023-01-13 02:53:29+00:00,CNBCTV18Live,"No time frame on when will we see sectors like BFSI, hi-tech &amp; telecom turn around. Attrition is going down every quarter for us, adds @Infosys CEO Salil Parekh to CNBC-TV18 

#3QWithCNBCTV18 #Infosys #InfosysQ3FY23 https://t.co/roFFKLXjsb"
100,2023-01-13 02:30:00+00:00,tradingonchart,"HCL Tech logs 20% rise in Q3 net profit-beats estimates

Follow on telegram: https://t.co/UKTjQEoPop
Open Zerodha Demat: https://t.co/KnZSj2zN2V

#tradingonchart #sensex #stockmarketindia #nifty50 #india #acquisition #investment #q3 #infosys #attrition #hcl #hcltech #technologies https://t.co/ubiuhpjvdl"
101,2023-01-12 19:52:54+00:00,dellyranksindia,"Wipro promotes over 70 executives to stem attrition at top level #attrition #attritionattoplevel #Birlasoft #ITsector #tomoakitakeuchi #Wipro #WiproExecutives https://t.co/PZ8UXrousq
https://t.co/ScTW1j9D1U"
102,2023-01-12 18:54:41+00:00,GurudattJRao,"The low attrition on #Software companies shows that people are now focusing on stable jobs rather than going for #startups or job switch

#Infosys #HCLTechnologies #StockMarketindia"
103,2023-01-12 18:01:59+00:00,ppressjournal,"IT major's revenue grows 20% YoY to Rs 38,318 cr
The attrition rate has been recorded at 24.35 in Q3FY23. In Q3FY22, it was at a higher 25.5%

#infosys #sharemarket #stocks #inflation 
https://t.co/tJLfJtrDt5 https://t.co/mwccj7nkqq"
104,2023-01-12 17:28:56+00:00,WithRitesh,"Solid results from #Infy 

Strong Topline and TCV growth; FY23 guidance upped

Constant currency revenue solid beat 

Attrition peaked at #Infosys

Indian IT names reporting much better numbers then estimates! https://t.co/fr1l2WOp5x"
105,2023-01-12 15:12:19+00:00,Bhavana_DC,"-IT major's revenue grows 20% YoY to Rs 38,318 cr
- The attrition rate has been recorded at 24.35 in Q3FY23. In Q3FY22, it was at a higher 25.5%

#infosys #sharemarket #stocks #bhavanachandwani https://t.co/lwe2U4YSV9"
106,2023-01-12 14:56:19+00:00,INDmoneyApp,"5 Key insights from TCS's earning report? What was the dividend, attrition rate and operating margin in Dec quarter of 2022?

#TCS #dividend #AttritionRate #OperatingMargin #INDmoney https://t.co/s6O3OrZ1Ne"
107,2023-01-12 14:42:52+00:00,tradingonchart,"Infosys' attrition rate declines to 24.3%, net profit increased 13.4%

Telegram: https://t.co/UKTjQEpndX

Open Zerodha Demat: https://t.co/KnZSj2AkSt

#tradingonchart #sensex #stockmarketindia #nifty50 #india #acquisition #investment #q3 #infosys #attrition #infosyslimited https://t.co/QqbUpZKsmY"
108,2023-01-12 14:34:47+00:00,ETNOWlive,"#EarningsWithETNOW | Solid showing from @Infosys all around

Profit figure comes at Rs 6586 cr

Constant currency at 2.3%, better than expected

Attrition comes down to 24.3%

@_anishaj explains the numbers 

#InfosysQ3FY23 #Infosys https://t.co/HqqrPUvh2E"
109,2023-01-12 14:29:29+00:00,Cityinvestclub,"#Infosys

Rev up 13.7% YoY and 2.4% QoQ in CC

OM at 21.5%

FY23 rev guidance revised up by 1% from 15%

EPS at 15.72, up 13.4% YoY

FCF at 4241 cr, down 12% YoY

Completed buyback of 4790cr out of total 9300cr at 1531/share

Attrition at 24.3% marginally down from Q2

#Q3Results https://t.co/QT41uGihwd"
110,2023-01-12 13:16:09+00:00,SagarGu83495305,"#HCLTech Q3 Results:beats estimates
▶️Profit rises 19% YoY to Rs 4,096cr. 
▶️Revenue grew by 20% to Rs26,700cr.
▶️The attrition rate fell to 21.7% in Q3
#Infosys #Paytm #FIIs #Q3FY23 #inflation #BullRun #Reliance #banknifty #StocksToTrade #sharemarketindia #cryptomarket #uscpi https://t.co/FohLmitm0h"
111,2023-01-12 12:49:17+00:00,IdeaNifty,"#infosys Earnings shows revenue peaked. Going to be challenging to maintain the margin with 24% attrition.
Already impacted the  operating margin this Qtr. 

With current revenue of $3bn and market cap of 77B$, P/E of 26 is not sustainable"
112,2023-01-12 11:32:03+00:00,StocksMarathi,"#Infosys #Q3FY23 

Revenue Growth 20% (YOY) - 38,318 Cr
Profit Growth 13.4% (YOY)  - 6,586 cr
Attrition Rate - 24.3%
TCV - $3.3 Billion

#Quarterlyresults"
113,2023-01-12 11:28:14+00:00,MoneyLifeDecode,#Infosys attrition down to 24.3% from 27.1%. It Augurs well for the stock price.
